train_order	package_id	subject	owner	risk	semantic_outcome	write_set	prerequisites	verification	state
11	M6-W1-BUILD	checker:evaluation/standards-effectiveness/verify-build-owner-contract.sh	workflows/build.md	consolidation	build-owner-contract-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/build-owner-contract.toml,evaluation/standards-effectiveness/verify-build-owner-contract.sh,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP6,VE022	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,complete-suite	accepted
12	M6-W1-DOC-TRACE	checker:evaluation/standards-effectiveness/verify-documentation-traceability-policy.sh	workflows/documentation.md	consolidation	documentation-traceability-policy-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/documentation-traceability-policy.toml,evaluation/standards-effectiveness/verify-documentation-traceability-policy.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP6,VE022	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
13	M6-W1-TOOLING	checker:evaluation/standards-effectiveness/verify-tooling-owner-contract.sh	workflows/tooling.md	consolidation	tooling-owner-contract-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/tooling-owner-contract.toml,evaluation/standards-effectiveness/verify-tooling-owner-contract.sh,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP6,VE022	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,complete-suite	accepted
14	M6-W1-TOOLING-REF	checker:evaluation/standards-effectiveness/verify-tooling-reference-recipes.sh	reference/recipes/tooling.md	consolidation	tooling-reference-recipes-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/tooling-reference-recipes.toml,evaluation/standards-effectiveness/verify-tooling-reference-recipes.sh,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M5-CP6,VE022,VE023	focused-suite,exact-disposition-count,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,complete-suite	accepted
15	M6-W2-RUST-API-RUSTDOC	checker:evaluation/standards-effectiveness/verify-rust-api-rustdoc.sh	profiles/languages/rust/api.md	consolidation	rust-api-rustdoc-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-api-rustdoc.toml,evaluation/standards-effectiveness/verify-rust-api-rustdoc.sh,evaluation/standards-effectiveness/milestone-7-source-package-preparation.tsv,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	VE022,7.4c3p,M6-W1-TOOLING-REF	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,source-unchanged,complete-suite	accepted
16	M6-W2-RUST-DEP-BUILD-COST	checker:evaluation/standards-effectiveness/verify-rust-dependency-build-cost.sh	profiles/languages/rust/dependencies.md	consolidation	rust-dependency-build-cost-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-dependency-build-cost.toml,evaluation/standards-effectiveness/verify-rust-dependency-build-cost.sh,evaluation/standards-effectiveness/milestone-7-source-package-preparation.tsv,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	VE022,7.4c3p,M6-W1-TOOLING-REF	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,source-unchanged,complete-suite	accepted
17	M6-W2-RUST-RELEASE-EVIDENCE	checker:evaluation/standards-effectiveness/verify-rust-release-evidence.sh	profiles/languages/rust/release.md	consolidation	rust-release-evidence-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/rust-release-evidence.toml,evaluation/standards-effectiveness/verify-rust-release-evidence.sh,evaluation/standards-effectiveness/milestone-7-source-package-preparation.tsv,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	VE022,7.4c3p,M6-W1-TOOLING-REF	focused-suite,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,source-unchanged,complete-suite	accepted
18	M6-W3-CONTRACT-BOUNDARY	checker:evaluation/standards-effectiveness/verify-contract-boundary-proof.sh	topics/contracts.md	consolidation	contract-boundary-proof-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/contract-boundary-proof.toml,evaluation/standards-effectiveness/verify-contract-boundary-proof.sh,evaluation/standards-effectiveness/fixtures/contracts/boundary-proof-decisions.tsv,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-EDGE-1,VE026	focused-suite,edge-dispositions,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
19	M6-W3-CORE-CONSTANTS	checker:evaluation/standards-effectiveness/verify-core-constants.sh	CORE-STANDARDS.md	consolidation	core-constants-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/core-constants.toml,evaluation/standards-effectiveness/verify-core-constants.sh,evaluation/standards-effectiveness/fixtures/core/constants-decisions.tsv,evaluation/standards-effectiveness/README.md,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-EDGE-1,VE026	focused-suite,edge-dispositions,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
20	M6-W3-DISABLED-BEHAVIOR	checker:evaluation/standards-effectiveness/verify-disabled-behavior-claims.sh	workflows/verification.md	consolidation	disabled-behavior-claims-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/disabled-behavior-claims.toml,evaluation/standards-effectiveness/verify-disabled-behavior-claims.sh,evaluation/standards-effectiveness/fixtures/verification/disabled-behavior-decisions.tsv,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-EDGE-1,VE026	focused-suite,edge-dispositions,engine-tests,graph-freshness,declarative-all,removed-paths,complete-suite	accepted
21	M6-W3-LICENSING	checker:evaluation/standards-effectiveness/verify-licensing-owner-contract.sh	topics/licensing.md	consolidation	licensing-owner-contract-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/licensing-owner-contract.toml,evaluation/standards-effectiveness/verify-licensing-owner-contract.sh,evaluation/standards-effectiveness/fixtures/licensing/owner-contract-decisions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-EDGE-1,VE026	focused-suite,edge-dispositions,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,complete-suite	accepted
22	M6-W3-PERFORMANCE	checker:evaluation/standards-effectiveness/verify-performance-owner-contract.sh	topics/performance.md	consolidation	performance-owner-contract-declarative-authority	evaluation/standards-effectiveness/checker-migration-packages.tsv,evaluation/standards-effectiveness/executable-edge-dispositions.tsv,evaluation/standards-effectiveness/suite-registry.toml,evaluation/standards-effectiveness/suites/checker-migration-packages.toml,evaluation/standards-effectiveness/suites/performance-owner-contract.toml,evaluation/standards-effectiveness/verify-performance-owner-contract.sh,evaluation/standards-effectiveness/fixtures/performance/owner-contract-decisions.tsv,evaluation/standards-effectiveness/milestone-7-row-35-readme-dependencies.tsv,evaluation/standards-effectiveness/verify-milestone-7-row-35-decomposition.sh,evaluation/standards-effectiveness/generated/checker-structure-inventory.tsv,evaluation/standards-effectiveness/generated/checker-dependency-components.tsv,evaluation/standards-effectiveness/generated/checker-dependency-edges.tsv,evaluation/standards-effectiveness/generated/checker-dependency-nodes.tsv,docs/plans/standards-verification-engine/plan.md,docs/plans/standards-verification-engine/execution-ledger.md,docs/plans/standards-verification-engine/issues.md,docs/plans/standards-verification-engine/reports/checker-inventory.md,plans/standards-library-effectiveness-restructure-plan.md	M6-EDGE-1,VE026	focused-suite,edge-dispositions,engine-tests,graph-freshness,declarative-all,removed-paths,lifecycle-transfer,complete-suite	accepted
