baseline_order	child_order	ids	source	owner	owner_state	activation	checkpoint	rationale
7	2	STD-0763,STD-0764,STD-0765,STD-0766	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	workflows/release.md	exists	pre-slice-review	focused	binding artifact identities relationships composition and consumer information follow the selected release artifact plan
7	3	STD-0767	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	each native generated host ABI wire and persisted artifact follows its applicable compatibility contract independently
7	4	STD-0768,STD-0769,STD-0770,STD-0771	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/boundaries/language-bindings.md	exists	pre-slice-review	focused	exported binding surface support promises language subsets and evidence follow declared consumer and product contracts
8	1	STD-0782,STD-0783	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	canonical generation authority and deterministic derived outputs follow applicable artifact contracts
8	2	STD-0784	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	profiles/languages/rust/language-bindings.md	exists	pre-slice-review	focused	Rust annotation placement follows the core-adapter boundary and selected binding mechanism without framework preference
8	3	STD-0785,STD-0786,STD-0787,STD-0788	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	workflows/release.md	exists	pre-slice-review	focused	binding build and generation procedures follow the selected release artifact plan and toolchain facts without fixed commands
8	4	STD-0789	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	languages/rust/RUST-LANGUAGE-BINDINGS-STANDARDS.md	exists	pre-slice-review	focused	legacy build-organization heading becomes a non-normative routing index while remaining child configuration identifiers retain separate ownership
13	1	STD-0273	CONCURRENCY-STANDARDS.md	profiles/languages/csharp/async.md	exists	pre-slice-review	focused	C sharp await-context behavior specializes the generic nonblocking lifecycle contract without making ConfigureAwait a universal mechanism
13	2	STD-0274	CONCURRENCY-STANDARDS.md	CONCURRENCY-STANDARDS.md	exists	pre-slice-review	focused	the Rust cross-reference becomes a non-normative route to the canonical Rust Async and Rust Security profiles
13	3	STD-0275,STD-0276	CONCURRENCY-STANDARDS.md	profiles/languages/typescript/async.md	exists	pre-slice-review	focused	TypeScript stale-result suppression specializes current-invocation ownership and typed terminal outcomes without request-counter or silent-discard defaults
13	4	STD-0277,STD-0278,STD-0279	CONCURRENCY-STANDARDS.md	profiles/frameworks/godot.md	exists	pre-slice-review	focused	Godot main-thread dispatch and object-lifetime proof specialize concurrency ownership without deferred-call or validity-check-only defaults
14	1	STD-0487,STD-0488,STD-0489,STD-0490,STD-0491,STD-0492,STD-0493,STD-0494,STD-0499,STD-0501,STD-0502,STD-0503,STD-0504,STD-0505,STD-0506,STD-0507,STD-0511,STD-0512	LAUNCHER-STANDARDS.md	profiles/applications/launcher.md	exists	pre-slice-review	focused	launcher command projection delegation process and state lifecycle help outcome preservation and structural closure consume canonical procedure owners without Bash no-op template or fallback authority
14	2	STD-0495	LAUNCHER-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	GUI smoke evidence environment execution mode and acceptance claims belong to Verification while Launcher only projects the selected procedure
14	3	STD-0496,STD-0497,STD-0498	LAUNCHER-STANDARDS.md	topics/dependencies.md	exists	pre-slice-review	focused	dependency satisfaction selection installation authorization verification and outcomes require the canonical Dependencies owner before launcher adaptation
14	4	STD-0500	LAUNCHER-STANDARDS.md	workflows/release.md	exists	pre-slice-review	focused	development and release build procedures consume the selected artifact plan and cannot infer universal compilation targets modes or successful no-ops
14	5	STD-0508,STD-0509,STD-0510	LAUNCHER-STANDARDS.md	topics/security.md	exists	pre-slice-review	focused	generated desktop and shell commands require canonical untrusted-input validation destination encoding and negative evidence without raw interpolation or copied helper defaults
15	1	STD-0135,STD-0136	CODING-STANDARDS.md	CORE-STANDARDS.md	exists	pre-slice-review	focused	coding index and simplicity policy belong to Core without line-count or type-count defaults
15	2	STD-0137,STD-0138,STD-0139,STD-0140,STD-0141,STD-0142,STD-0143,STD-0144,STD-0145,STD-0146,STD-0147	CODING-STANDARDS.md	topics/architecture.md	exists	pre-slice-review	focused	module boundaries layers data authority composition roots and state ownership require a canonical Architecture owner without fixed layer diagrams
15	3	STD-0148,STD-0149,STD-0150	CODING-STANDARDS.md	CORE-STANDARDS.md	exists	pre-slice-review	focused	constants and configuration follow semantic ownership without universal literal or centralization rules
15	4	STD-0151,STD-0152,STD-0153,STD-0154	CODING-STANDARDS.md	topics/resilience.md	exists	pre-slice-review	focused	failure classification boundary handling cause preservation and diagnostics belong to Resilience without exception or logging defaults
15	5	STD-0155,STD-0156	CODING-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	inbound and outbound boundary validation follows complete contracts without HTTP or exception mechanism defaults
15	6	STD-0157	CODING-STANDARDS.md	topics/dependencies.md	exists	pre-slice-review	focused	dependency parent becomes a route to canonical Dependencies
15	7	STD-0158,STD-0159,STD-0160,STD-0161,STD-0162,STD-0163,STD-0164,STD-0165,STD-0166	CODING-STANDARDS.md	CORE-STANDARDS.md	exists	pre-slice-review	focused	code volume abstraction duplication deletion and terminology policy belong to Core without fixed call-count or naming recipes
15	8	STD-0167,STD-0168,STD-0169,STD-0170,STD-0171,STD-0172,STD-0173	CODING-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	invariant precondition postcondition and validation contracts belong to Contracts while Verification owns selected evidence
15	9	STD-0174,STD-0175,STD-0176,STD-0177	CODING-STANDARDS.md	workflows/implementation.md	exists	pre-slice-review	focused	disabled and unimplemented behavior requires explicit lifecycle and no registered stub fallback
15	10	STD-0178	CODING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	disabled-feature acceptance checklist becomes claim-derived verification evidence
15	11	STD-0179,STD-0180,STD-0181,STD-0182	CODING-STANDARDS.md	topics/licensing.md	exists	owner-review	focused	license compatibility provenance and attribution require a canonical owner without fixed license tables or templates
15	12	STD-0183	CODING-STANDARDS.md	CODING-STANDARDS.md	exists	pre-slice-review	focused	language-specific parent becomes a non-normative route to selected language profiles
15	13	STD-0184,STD-0185,STD-0186	CODING-STANDARDS.md	profiles/languages/typescript.md	exists	owner-review	focused	general TypeScript API and boundary typing require a language profile distinct from async specialization
15	14	STD-0187	CODING-STANDARDS.md	profiles/applications/frontend.md	exists	owner-review	focused	frontend parent routes to a canonical application profile rather than a legacy file
15	15	STD-0188,STD-0189,STD-0190,STD-0191,STD-0192,STD-0193,STD-0194	CODING-STANDARDS.md	topics/performance.md	exists	owner-review	focused	performance claims profiling optimization and benchmarks require a canonical owner without fixed hot-path allocation rules
18	1	STD-0611,STD-0639	TESTING-STANDARDS.md	topics/concurrency.md	exists	pre-slice-review	focused	shared global and durable resource isolation plus lifecycle cancellation retry and stale-result evidence consume canonical Concurrency ownership without serialization or happy-path fallback
18	2	STD-0616	TESTING-STANDARDS.md	profiles/boundaries/language-bindings.md	exists	pre-slice-review	focused	native host and packaged binding evidence specialize canonical Language Binding representation and lifecycle contracts without wrapper-only or producer-only proof
18	3	STD-0617	TESTING-STANDARDS.md	topics/resilience.md	exists	pre-slice-review	focused	replay recovery duplicate handling and partial-failure resumption consume canonical Resilience outcomes without helper-only or successful-restart substitution
18	4	STD-0635	TESTING-STANDARDS.md	topics/contracts.md	exists	pre-slice-review	focused	persisted generated and schema-backed fixtures require current producer-consumer contract proof without stale artifact or regeneration-by-assumption fallback
18	5	STD-0641	TESTING-STANDARDS.md	profiles/applications/frontend.md	exists	pre-slice-review	focused	frontend selector interaction accessibility geometry and lifecycle evidence specialize the canonical Frontend application profile
18	6	STD-0642,STD-0643,STD-0644	TESTING-STANDARDS.md	topics/performance.md	exists	pre-slice-review	focused	benchmarks budgets workloads environments and regression evidence belong to Performance without fixed thresholds harnesses or schedules
18	7	STD-0608,STD-0609,STD-0610,STD-0612,STD-0613,STD-0614,STD-0615	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	test category and cross-layer labels become claim-selected acceptance evidence without suite-label fidelity hierarchy build-smoke or lower-layer substitution
18	8	STD-0618,STD-0619,STD-0620,STD-0621,STD-0622,STD-0623,STD-0624	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	focused test structure mocks edge cases and property-based techniques follow observable claims and regression risks without one-assertion arrange-act-assert mock hierarchy or universal edge-case defaults
18	9	STD-0603,STD-0604,STD-0605,STD-0606,STD-0607	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	test placement and naming follow repository ownership discovery and tooling constraints without colocated mirrored-tree or naming-template defaults
18	10	STD-0625,STD-0626,STD-0627,STD-0628,STD-0629,STD-0630,STD-0631	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	coverage and durable evidence documentation support named claims without fixed percentages exclusion lists coverage-as-quality or copied fixture-documentation templates
18	11	STD-0632,STD-0633,STD-0634	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	test data authority identity isolation and lifecycle select factories builders or direct construction from the contract without shared mutable state or factory defaults
18	12	STD-0636,STD-0637,STD-0638,STD-0640	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	async completion success failure and service-boundary evidence follow observable lifecycle and error contracts without await-syntax happy-path generic-error or weaker-boundary substitution
18	13	STD-0645,STD-0646,STD-0647,STD-0648,STD-0649,STD-0650,STD-0651,STD-0652	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	supporting gates and diagnosis procedures follow the failed claim and available evidence without fixed layer order compile-build-launch reference-lookup or self-correction checklist defaults
18	14	STD-0602,STD-0653	TESTING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	close the legacy Testing source as a non-normative index only after exact dispositions and accepted prior children and reject checklist completion as acceptance
19	1	STD-0654,STD-0655,STD-0660,STD-0662,STD-0664,STD-0665	TOOLING-STANDARDS.md	workflows/tooling.md	exists	pre-slice-review	focused	establish bounded Tooling ownership through hook selection configuration scheduling cost and artifact-check orchestration without tool hook staged-file or schedule defaults
19	2	STD-0663,STD-0703	TOOLING-STANDARDS.md	workflows/commit.md	exists	pre-slice-review	focused	route history review and hook bypass to Commit authority without automated rewrite emergency or bypass defaults
19	3	STD-0656,STD-0657,STD-0658,STD-0659,STD-0661	TOOLING-STANDARDS.md	reference/recipes/tooling.md	exists	pre-slice-review	focused	move hook rationale Lefthook selection installation and configuration examples to non-normative reference without recommended-tool authority
19	4	STD-0666,STD-0673	TOOLING-STANDARDS.md	workflows/tooling.md	exists	pre-slice-review	focused	select editor-neutral configuration and settings from repository consumer and file-format facts without EditorConfig or universal setting defaults
19	5	STD-0667,STD-0668,STD-0669,STD-0670,STD-0671,STD-0672	TOOLING-STANDARDS.md	reference/recipes/tooling.md	exists	pre-slice-review	focused	move EditorConfig rationale templates and language examples to non-normative reference
19	6	STD-0674,STD-0675	TOOLING-STANDARDS.md	workflows/tooling.md	exists	pre-slice-review	focused	select lint purpose scope severity automation and scheduling from owned risks and debt without warnings autofix changed-file or tier defaults
19	7	STD-0676	TOOLING-STANDARDS.md	reference/recipes/tooling.md	exists	pre-slice-review	focused	move linter category taxonomy and product examples to non-normative reference
19	8	STD-0677,STD-0678,STD-0679,STD-0680	TOOLING-STANDARDS.md	profiles/languages/typescript.md	exists	pre-slice-review	focused	split durable TypeScript lint compiler and architecture semantics into the TypeScript profile while extracting ESLint Prettier tsconfig and custom-rule syntax to non-normative Tooling reference without product version preset flag glob or rule defaults
19	9	STD-0681,STD-0682,STD-0683,STD-0686	TOOLING-STANDARDS.md	workflows/tooling.md	exists	pre-slice-review	focused	govern formatting ownership editor automation scheduling and lint separation while extracting VS Code format-on-save Prettier ESLint pairing and installation syntax to non-normative Tooling reference without editor CI or tool-pair defaults
19	10	STD-0684,STD-0685	TOOLING-STANDARDS.md	reference/recipes/tooling.md	exists	pre-slice-review	focused	move formatter command and exit-code examples to non-normative reference
19	11	STD-0688,STD-0695	TOOLING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	route quality-gate acceptance and local-versus-CI evidence meaning to Verification without mandatory gate lists or environment hierarchy
19	12	STD-0687,STD-0689,STD-0690	TOOLING-STANDARDS.md	workflows/tooling.md	exists	pre-slice-review	focused	govern CI orchestration dependency graph failure aggregation schedule and cancellation while extracting GitHub fail-fast summary continue-on-error needs success tier and launcher command syntax to non-normative Tooling reference without provider topology tier parallel or command defaults
19	13	STD-0691,STD-0692	TOOLING-STANDARDS.md	workflows/tooling.md	exists	pre-slice-review	focused	govern tool debt and automation cost while extracting GitHub permissions concurrency setup cache package-command summary and artifact syntax to non-normative Tooling reference without ratchet cache timeout path-filter or cancellation defaults
19	14	STD-0693,STD-0694	TOOLING-STANDARDS.md	reference/recipes/tooling.md	exists	pre-slice-review	focused	move CI workflow YAML provider actions cache and diagnostic examples to non-normative reference
19	15	STD-0696,STD-0697	TOOLING-STANDARDS.md	workflows/documentation.md	exists	pre-slice-review	focused	reconcile pre-migration Decision Traceability lineage under Documentation while extracting maps commands hook YAML and provider syntax to non-normative reference without directory README diff-mode branch or artifact defaults
19	16	STD-0698	TOOLING-STANDARDS.md	workflows/implementation.md	exists	pre-slice-review	focused	govern change-description evidence while extracting GitHub template placement installation headings and checklist syntax to non-normative Implementation reference without provider pull-request template or duplicated-rationale defaults
19	17	STD-0699,STD-0700	TOOLING-STANDARDS.md	topics/dependencies.md	exists	pre-slice-review	focused	route dependency auditing to Dependencies and index the empty installation checklist parent without audit tool minimum setup installation or command defaults
19	18	STD-0701,STD-0702	TOOLING-STANDARDS.md	reference/recipes/tooling.md	exists	pre-slice-review	focused	move minimum setup and command lists to non-normative reference without installation checklist authority
20	1	STD-0706,STD-0713,STD-0714	languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	exists	pre-slice-review	focused	create a useful narrow Rust API specialization for public trait and parameter mechanisms while indexing the parent without generic contract or mechanism defaults
20	2	STD-0707,STD-0708	languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	exists	pre-slice-review	focused	split generic invariant and boundary validation authority from Rust type and conversion mechanisms without severity threshold parse-once or primitive-wrapper defaults
20	3	STD-0709,STD-0710	languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	exists	pre-slice-review	focused	split Architecture authority from Rust crate module visibility and cfg mechanisms without crate role naming tree or file placement defaults
20	4	STD-0711,STD-0712	languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	exists	pre-slice-review	focused	split Contracts absence invariant and impossible-state authority plus Resilience operational failure recovery degradation and availability authority from Rust Result Option panic assertion unreachable unwrap and expect mechanisms without situation-table error-crate context or exception-list defaults
20	5	STD-0715	languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	exists	pre-slice-review	focused	split Dependencies feature selection Contracts consumer compatibility Library real configurations Documentation durable artifacts and Verification claim-matched evidence authority from Rust source configuration public API feature exposure and compile-time enforcement mechanisms without minimal-default cfg conflict documentation-placement or command-matrix defaults
20	6	STD-0716	languages/rust/RUST-API-STANDARDS.md	profiles/languages/rust/api.md	exists	pre-slice-review	focused	split Documentation trigger artifact placement and quality Contracts invariant compatibility and consumer facts Resilience failure behavior Dependencies feature facts Rust Unsafe safety contracts and Library consumer applicability from Rustdoc syntax then close the legacy source without required section artifact location or example checklists
21	1	STD-0731	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	exists	pre-slice-review	focused	create a narrow Rust dependency mechanism owner and index the parent without selecting generic dependency audit security licensing performance tooling verification or recipe policy
21	2	STD-0732,STD-0733,STD-0734	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	exists	pre-slice-review	focused	split dependency candidate authority from Cargo crate inspection mechanisms and move concrete cargo tree commands to non-normative Rust dependency reference without std framework transitive-count gating or written-justification defaults
21	3	STD-0735,STD-0736,STD-0737	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	exists	pre-slice-review	focused	split dependency ownership from Cargo workspace inheritance mechanisms and move example manifests to reference without member-count root-manifest or workspace-inheritance defaults
21	4	STD-0738,STD-0739,STD-0740	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	exists	pre-slice-review	focused	split generic feature authority and Rust API source and public-surface mechanisms from Cargo manifest dependency feature optionality forwarding grouping and target mechanisms and move manifests to reference without minimal-feature full-feature heavy-optionality cfg or conflict defaults
21	5	STD-0741,STD-0742,STD-0743,STD-0744,STD-0745,STD-0746	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	exists	pre-slice-review	focused	split claim-matched dependency graph inspection from Cargo tree mechanisms and move command pipelines to reference without mandatory timing scope count duplicate or release-audit defaults
21	6	STD-0747,STD-0748	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	exists	pre-slice-review	focused	split Dependencies Security Licensing Verification and Tooling audit authority from supported Rust audit mechanisms and move tools commands and search recipe to reference without mandatory product PR nightly precision schedule or masking defaults
21	7	STD-0749,STD-0750,STD-0751	languages/rust/RUST-DEPENDENCY-STANDARDS.md	profiles/languages/rust/dependencies.md	exists	pre-slice-review	focused	split Performance claim and measurement authority from Cargo build timing and graph measurement mechanisms and move command pipelines to reference then close legacy source without percentage alternative feature-reduction leaf-crate or count defaults
22	1	STD-0810	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	exists	pre-slice-review	focused	create a narrow Rust and Cargo release mechanism owner plus non-normative recipe boundary and index the parent without selecting generic release dependency reproducibility licensing documentation performance tooling verification or command policy
22	2	STD-0811,STD-0812	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	exists	pre-slice-review	focused	preserve reproducibility and lockfile policy in Release and Dependencies plus Cargo resolver and lockfile mechanisms in Rust Dependency while splitting only Rust toolchain declaration mechanisms and moving the toolchain manifest to reference without version component application library lockfile or resolved-graph defaults
22	3	STD-0813	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	exists	pre-slice-review	focused	split release contract licensing and documentation authority from Cargo package metadata mechanisms and extract manifest examples without package field edition rust-version license repository readme keyword category or completeness defaults
22	4	STD-0814	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	exists	pre-slice-review	focused	split artifact and publication authority from Cargo publish-control mechanisms and extract manifests and crate-category examples without crates-io publish-false binary cdylib tooling harness or workspace-only defaults
22	5	STD-0815,STD-0816,STD-0817	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	exists	pre-slice-review	focused	split release-unit and version authority from Cargo workspace package metadata mechanisms and move manifests to reference without shared-version product-coupling field-inheritance or workspace-layout defaults
22	6	STD-0818,STD-0819	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	exists	pre-slice-review	focused	split release-procedure and tool-selection authority from supported Rust release-automation adapters and move cargo-release configuration to reference without product cadence manual-procedure shared-version commit tag changelog or first-release defaults
22	7	STD-0820	languages/rust/RUST-RELEASE-STANDARDS.md	profiles/languages/rust/release.md	exists	pre-slice-review	focused	split release and verification claim authority from supported Rust evidence mechanisms and extract fixed commands to reference then close legacy source without every-release all-feature warning audit benchmark metadata changelog tag or artifact-name checklist defaults
23	1	STD-0831	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	create narrow Rust and Cargo tooling mechanism owner plus non-normative recipe boundary and parent index without selecting generic claim test lint performance dependency security target feature tool schedule or command policy
23	2	STD-0832	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split Verification claims from Cargo baseline command mechanisms without workspace CI all-target all-feature warning doctest or public-feature defaults
23	3	STD-0833	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split Tooling lint authority from Cargo workspace lint expression without root lint-set severity inheritance or unsafe defaults
23	4	STD-0834	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split Performance and Verification authority from Criterion adapters without tool PR hot-path budget input throughput directory dependency-version harness or CI defaults
23	5	STD-0835	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split Tooling and Verification authority from Rust test-runner adapters without nextest repository-size timeout JUnit partition doctest retry or CI defaults
23	6	STD-0836	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split feature-contract and evidence authority from Cargo feature-matrix adapters without cargo-hack crate-category powerset feature-count workspace no-dev-deps or baseline-command defaults
23	7	STD-0837	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split compile-time rejection contract and evidence authority from compile-fail harness adapters without trybuild restriction-category CI or example defaults
23	8	STD-0838	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split invariant property generator and evidence authority from property-test harness adapters without proptest invariant-category parser state-machine or example defaults
23	9	STD-0839	languages/rust/RUST-TOOLING-STANDARDS.md	workflows/verification.md	exists	pre-slice-review	focused	refine test design naming placement and regression-record authority into Verification and move Rust syntax to reference without naming placement helper directory or documentation defaults
23	10	STD-0840	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split generic decisions from capability-matched Rust tool-adapter inventory without required optional recommended tool category or Miri defaults
23	11	STD-0841	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/tooling.md	exists	pre-slice-review	focused	split build and supply-chain authority from Cargo build-script mechanisms without sparing-use purpose directive output compiler runtime-detection timestamp or dependency defaults
23	12	STD-0842	languages/rust/RUST-TOOLING-STANDARDS.md	profiles/languages/rust/cross-platform.md	exists	pre-slice-review	focused	split target and no-std authority into Rust Cross-Platform preserve API Dependency and Tooling routes extract commands then close source without target crate-category feature dependency host-test or practical-coverage defaults
